ç[2025-03-20 08:51:15,204: INFO: main: Welcome to our custom log]
[2025-03-20 09:08:29,563: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-03-20 09:08:29,567: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-20 09:08:29,568: INFO: common: created directory at: artifacts]
[2025-03-20 09:08:29,571: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-20 09:08:29,572: INFO: 2177093844: Downloading data from https://drive.google.com/file/d/1OsDiZ9Kyo-Qxa1xYKVWAZPasFgzAdjcP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-20 09:16:42,368: INFO: 2177093844: Downloaded data from https://drive.google.com/file/d/1OsDiZ9Kyo-Qxa1xYKVWAZPasFgzAdjcP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-20 09:19:10,722: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-03-20 09:19:10,724: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-03-20 09:19:10,726: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-20 09:19:10,726: INFO: common: created directory at: artifacts]
[2025-03-20 09:19:10,726: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-20 09:19:10,726: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1OsDiZ9Kyo-Qxa1xYKVWAZPasFgzAdjcP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-20 09:23:10,093: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-03-20 09:23:10,096: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-20 09:23:10,097: INFO: common: created directory at: artifacts]
[2025-03-20 09:23:10,097: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-20 09:23:10,098: INFO: 2177093844: Downloading data from https://drive.google.com/file/d/18Xl8070XZ4iEHhzalwdOmzZEH6Cmokh5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-20 09:23:43,076: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-03-20 09:23:43,079: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-20 09:23:43,080: INFO: common: created directory at: artifacts]
[2025-03-20 09:23:43,081: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-20 09:23:43,081: INFO: 2177093844: Downloading data from https://drive.google.com/file/d/18Xl8070XZ4iEHhzalwdOmzZEH6Cmokh5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-20 09:25:10,539: INFO: 2177093844: Downloaded data from https://drive.google.com/file/d/18Xl8070XZ4iEHhzalwdOmzZEH6Cmokh5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
